Type,ID,Description,KM
BRTS,100-D,Hinjawadi - Maan Phase 3 To Ma Na Pa,26.4
BRTS,100-U,Ma Na Pa To Hinjawadi - Maan Phase 3 ,26.4
Non-BRTS,101-D,Kondhwa Bk To Kothrud Depot,16.2
Non-BRTS,101-U,Kothrud Depot To Kondhwa Bk,16.2
Non-BRTS,102-D,Lohgaon To Kothrud Depot,23.6
Non-BRTS,102-U,Kothrud Depot To Lohgaon,23.6
Non-BRTS,103A-D,Hinjawadi Maan Phase 3 To Katraj Via Kothrud Depot,36.6
Non-BRTS,103A-U,Katraj To Hinjawadi Maan Phase 3 Via Kothrud Depot,36.6
Non-BRTS,103-D,Kothrud Depot To Katraj,14.3
Non-BRTS,103-U,Katraj To Kothrud Depot,14.3
Non-BRTS,104-D,DSK Vishwa To Deccan Gymkhana,15.4
Non-BRTS,104-U,Deccan Gymkhana To DSK Vishwa,15.4
Non-BRTS,105-D,Medi Point To Deccan Gymkhana,11
Non-BRTS,105-U,Deccan Gymkhana To Medi Point,11
Non-BRTS,106-R,Galinde Path To Galinde Path,21.3
Non-BRTS,107-D,Pimplegurav To Deccan Gymkhana,14.4
Non-BRTS,107-U,Deccan Gymkhana To Pimplegurav,14.4
Non-BRTS,108-D,Pune Station To Sutardara,12.3
Non-BRTS,108-U,Sutardara To Pune Station,12.3
Non-BRTS,109-R,Ma Na Pa To Ma Na Pa,21
Non-BRTS,10-D,Keshavnagar To Swargate,15
Non-BRTS,10-U,Swargate To Keshavnagar,15
Non-BRTS,110-R,Ma Na Pa To Ma Na Pa,21
Non-BRTS,111-D,Ma Na Pa To Bhekrainagar,17.3
Non-BRTS,111-U,Bhekrainagar To Ma Na Pa,17.3
Non-BRTS,112-D,Mandai To Kothrud Depot,8
Non-BRTS,112-U,Kothrud Depot To Mandai,8
Non-BRTS,113A-D,Pimplegurav To Appa Balawant Chowk,13.3
Non-BRTS,113A-U,Appa Balawant Chowk To Pimplegurav,13.3
Non-BRTS,113B-D,Pimplegurav To Ma Na Pa,12.6
Non-BRTS,113B-U,Ma Na Pa To Pimplegurav,12.6
Non-BRTS,113-D,Vasantdada Putala Sangvi To Appa Balawant Chowk,10.9
Non-BRTS,113-U,Appa Balawant Chowk To Vasantdada Putala Sangvi,10.9
Non-BRTS,114-D,Mhalungegaon To Ma Na Pa,12.5
Non-BRTS,114-U,Ma Na Pa To Mhalungegaon,12.5
BRTS,115P-D,Hinjawadi - Maan Phase 3 To Pune Station,29
BRTS,115P-U,Pune Station To Hinjawadi - Maan Phase 3 ,29
Non-BRTS,116-D,Khadki Bazar To Ma Na Pa,10.8
Non-BRTS,116-U,Ma Na Pa To Khadki Bazar,10.8
Non-BRTS,117A-D,DSK Vishwa To Swargate,12.8
Non-BRTS,117A-U,Swargate To DSK Vishwa,12.8
Non-BRTS,117-D,Dhayari Maruti Mandir To Swargate,12.2
Non-BRTS,117-U,Swargate To Dhayari Maruti Mandir,12.2
Non-BRTS,118-7-D,Venutai Chavan College To Swargate,9.4
Non-BRTS,118-7-U,Swargate To Venutai Chavan College,9.4
Non-BRTS,118A-D,Suncity To Swargate,6
Non-BRTS,118A-U,Swargate To Suncity,6
Non-BRTS,118-D,Venutai Chavan College To Swargate,9.4
Non-BRTS,118-U,Swargate To Venutai Chavan College,9.4
Non-BRTS,119A-D,Alandi To Vishrantwadi,11
Non-BRTS,119A-U,Vishrantwadi To Alandi,11
Non-BRTS,119-D,Alandi To Ma Na Pa,23.1
Non-BRTS,119-U,Ma Na Pa To Alandi,23.1
Non-BRTS,11-D,Pimplegurav To Marketyard,16.9
Non-BRTS,11K-D,Kalpataru To Katraj,22.25
Non-BRTS,11K-U,Katraj To Kalpataru,22.85
Non-BRTS,11-U,Marketyard To Pimplegurav,16.9
Non-BRTS,120-D,Chakan Mahalung To Ma Na Pa,40.6
Non-BRTS,120-U,Ma Na Pa To Chakan Mahalung,40.6
Non-BRTS,121-D,Bhosari Terminal To Ma Na Pa,17.1
Non-BRTS,121-U,Ma Na Pa To Bhosari Terminal,17.1
Non-BRTS,122-D,Chinchwadgaon To Ma Na Pa,18.7
Non-BRTS,122-U,Ma Na Pa To Chinchwadgaon,18.7
Non-BRTS,123-D,Bhakti Shakti To Ma Na Pa,20.1
Non-BRTS,123-U,Ma Na Pa To Bhakti Shakti,20.1
Non-BRTS,125-D,Dapodi Mantri Niketan To Bopkhel,12.7
Non-BRTS,125-U,Bopkhel To Dapodi Mantri Niketan,12.7
Non-BRTS,126-D,Pimplenilakh To Vishrantwadi,16.2
Non-BRTS,126-U,Vishrantwadi To Pimplenilakh,16.2
Non-BRTS,128-D,Bopkhel To Ma Na Pa,19.1
Non-BRTS,128-U,Ma Na Pa To Bopkhel,19.1
Non-BRTS,129-D,Medi Point To Pune Station,13
Non-BRTS,129-U,Pune Station To Medi Point,13
Non-BRTS,12-D,Bhakti Shakti To Upper Depot,30.05
Non-BRTS,12-U,Upper Depot To Bhakti Shakti,30.05
Non-BRTS,130-D,Shivajinagar To Yewalewadi,16.1
